"model_id","reference_datetime","datetime","variable","prediction","Chla_ugL_mean","residuals","horizon","ref_date_KGML_fc","AirTemp","ShortWave","LongWave","RelHum","WindSpeed","Rain","Snow","INFLOW","TEMP","SALT","OXY_oxy","CAR_dic","CAR_pH","CAR_ch4","SIL_rsi","NIT_amm","NIT_nit","PHS_frp","PHS_frp_ads","OGM_doc","OGM_poc","OGM_don","OGM_pon","OGM_dop","OGM_pop","OGM_docr","OGM_donr","OGM_dopr","OGM_cpom"
"GLM-AED",2022-01-01,2022-01-01,"chlorophyll-a",9.10111886013986,9.10111886013986,0,0,2022-02-06,14.2716666666667,64.9516666666667,382.941666666667,92.7741666666667,2.11208333333333,0.00330208333333333,0,0.0072,11.7433,0,318.7754,70.5389,6.88,0.0102,120.9013,0.2217,0.0112,0.1703,0.0341,11.1501,16.1677,0.4169,0.8338,0.0138,0.3228,150.5267,3.7521,0.1245,16.1677
"GLM-AED",2022-01-01,2022-01-02,"chlorophyll-a",7.72330616972947,11.1702083263889,-3.44690215665943,1,2022-02-06,15.3766666666667,26.0141666666667,386.650833333333,88.9691666666667,2.66125,0.0185425,0,0.015,11.7701,0,318.58,70.5885,6.88,0.0101,120.9013,0.2217,0.0115,0.1693,0.0339,11.1791,16.2097,0.4183,0.8366,0.0137,0.3193,150.9177,3.7647,0.1231,16.2097
"GLM-AED",2022-01-01,2022-01-03,"chlorophyll-a",7.5853826762765,10.5483216643357,-2.9629389880592,2,2022-02-06,3.82833333333333,61.64,329.020833333333,94.3941666666667,4.87458333333333,0.0149858333333333,0,0.0163,6.0356,0,365.8332,70.6382,6.88,0.01,120.9013,0.2217,0.0118,0.1683,0.0337,11.2081,16.2517,0.4197,0.8394,0.0135,0.3157,151.3087,3.7774,0.1218,16.2517
"GLM-AED",2022-01-01,2022-01-04,"chlorophyll-a",7.49499289218839,10.1974305416667,-2.70243764947831,3,2022-02-06,-2.15458333333333,124.802916666667,230.726666666667,69.76125,3.145,0.00177833333333333,0,0.0099,3.0901,0,395.0482,70.6879,6.88,0.0099,120.9013,0.2217,0.0121,0.1673,0.0335,11.237,16.2937,0.4211,0.8422,0.0134,0.3122,151.6997,3.79,0.1204,16.2937
"GLM-AED",2022-01-01,2022-01-05,"chlorophyll-a",7.4764184908672,10.0812587062937,-2.6048402154265,4,2022-02-06,0.954166666666667,54.3708333333333,274.044166666667,72.9833333333333,1.47416666666667,0.00253958333333333,0,0.0084,3.7692,0,387.9699,70.7376,6.88,0.0098,120.9013,0.2217,0.0123,0.1663,0.0333,11.266,16.3357,0.4225,0.845,0.0132,0.3087,152.0906,3.8027,0.1191,16.3357
"GLM-AED",2022-01-01,2022-01-06,"chlorophyll-a",7.39463180398168,10.7990277986111,-3.40439599462942,5,2022-02-06,6.14666666666667,79.3516666666667,292.745416666667,44.0733333333333,2.53583333333333,0,0,0.0084,4.5303,0,380.2871,70.7872,6.88,0.0097,120.9013,0.2217,0.0126,0.1653,0.0331,11.2949,16.3777,0.4239,0.8478,0.0131,0.3052,152.4816,3.8153,0.1177,16.3777
"GLM-AED",2022-01-01,2022-01-07,"chlorophyll-a",7.32382821022363,10.6395833333333,-3.31575512310967,6,2022-02-06,-3.15833333333333,125.102083333333,282.397083333333,64.4445833333333,2.83916666666667,0.000254166666666667,0,0.0089,1.612,0,411.2264,70.8369,6.88,0.0097,120.9013,0.2217,0.0129,0.1643,0.0329,11.3239,16.4197,0.4253,0.8507,0.0129,0.3017,152.8726,3.828,0.1164,16.4197
"GLM-AED",2022-01-01,2022-01-08,"chlorophyll-a",7.32026597938083,11.7771527916667,-4.45688681228587,7,2022-02-06,-5.76208333333333,123.45625,225.950416666667,56.5525,2.58666666666667,0,0,0.0072,0.0333,0,429.7545,70.8866,6.88,0.0096,120.9013,0.2217,0.0132,0.1633,0.0327,11.3529,16.4616,0.4267,0.8535,0.0128,0.2982,153.2636,3.8406,0.115,16.4616
"GLM-AED",2022-01-01,2022-01-09,"chlorophyll-a",7.30237706844148,11.8284027777778,-4.52602570933632,8,2022-02-06,1.30625,32.005,298.52625,77.875,1.42,0.00431833333333333,0,0.0085,2.1214,0,405.5284,70.9363,6.88,0.0095,120.9013,0.2217,0.0135,0.1622,0.0324,11.3818,16.5036,0.4281,0.8563,0.0126,0.2947,153.6546,3.8532,0.1137,16.5036
"GLM-AED",2022-01-01,2022-01-10,"chlorophyll-a",7.12881091700173,12.8497222152778,-5.72091129827607,9,2022-02-06,1.81375,128.455416666667,269.873333333333,46.0658333333333,3.3,0.000254166666666667,0,0.0096,1.8002,0,409.1054,70.9859,6.88,0.0094,120.9013,0.2217,0.0137,0.1612,0.0322,11.4108,16.5456,0.4295,0.8591,0.0125,0.2912,154.0455,3.8659,0.1123,16.5456
